City,State,City_State
Abbotsford,British Columbia,"Abbotsford, British Columbia"
Armstrong,British Columbia,"Armstrong, British Columbia"
Burnaby,British Columbia,"Burnaby, British Columbia"
Campbell River,British Columbia,"Campbell River, British Columbia"
Castlegar,British Columbia,"Castlegar, British Columbia"
Chilliwack,British Columbia,"Chilliwack, British Columbia"
Colwood,British Columbia,"Colwood, British Columbia"
Coquitlam,British Columbia,"Coquitlam, British Columbia"
Courtenay,British Columbia,"Courtenay, British Columbia"
Cranbrook,British Columbia,"Cranbrook, British Columbia"
Dawson Creek,British Columbia,"Dawson Creek, British Columbia"
Delta,British Columbia,"Delta, British Columbia"
Duncan,British Columbia,"Duncan, British Columbia"
Enderby,British Columbia,"Enderby, British Columbia"
Fernie,British Columbia,"Fernie, British Columbia"
Fort St. John,British Columbia,"Fort St. John, British Columbia"
Grand Forks,British Columbia,"Grand Forks, British Columbia"
Greenwood,British Columbia,"Greenwood, British Columbia"
Kamloops,British Columbia,"Kamloops, British Columbia"
Kelowna,British Columbia,"Kelowna, British Columbia"
Kimberley,British Columbia,"Kimberley, British Columbia"
Langford,British Columbia,"Langford, British Columbia"
Langley,British Columbia,"Langley, British Columbia"
Maple Ridge,British Columbia,"Maple Ridge, British Columbia"
Merritt,British Columbia,"Merritt, British Columbia"
Nanaimo,British Columbia,"Nanaimo, British Columbia"
Nelson,British Columbia,"Nelson, British Columbia"
New Westminster,British Columbia,"New Westminster, British Columbia"
North Vancouver,British Columbia,"North Vancouver, British Columbia"
Parksville,British Columbia,"Parksville, British Columbia"
Penticton,British Columbia,"Penticton, British Columbia"
Pitt Meadows,British Columbia,"Pitt Meadows, British Columbia"
Port Alberni,British Columbia,"Port Alberni, British Columbia"
Port Coquitlam,British Columbia,"Port Coquitlam, British Columbia"
Port Moody,British Columbia,"Port Moody, British Columbia"
Powell River,British Columbia,"Powell River, British Columbia"
Prince George,British Columbia,"Prince George, British Columbia"
Prince Rupert,British Columbia,"Prince Rupert, British Columbia"
Quesnel,British Columbia,"Quesnel, British Columbia"
Revelstoke,British Columbia,"Revelstoke, British Columbia"
Richmond,British Columbia,"Richmond, British Columbia"
Rossland,British Columbia,"Rossland, British Columbia"
Salmon Arm,British Columbia,"Salmon Arm, British Columbia"
Surrey,British Columbia,"Surrey, British Columbia"
Terrace,British Columbia,"Terrace, British Columbia"
Trail,British Columbia,"Trail, British Columbia"
Vancouver,British Columbia,"Vancouver, British Columbia"
Vernon,British Columbia,"Vernon, British Columbia"
Victoria,British Columbia,"Victoria, British Columbia"
West Kelowna,British Columbia,"West Kelowna, British Columbia"
White Rock,British Columbia,"White Rock, British Columbia"
Williams Lake,British Columbia,"Williams Lake, British Columbia"
Brandon,Manitoba,"Brandon, Manitoba"
Dauphin,Manitoba,"Dauphin, Manitoba"
Flin Flon,Manitoba,"Flin Flon, Manitoba"
Morden,Manitoba,"Morden, Manitoba"
Portage la Prairie,Manitoba,"Portage la Prairie, Manitoba"
Selkirk,Manitoba,"Selkirk, Manitoba"
Steinbach,Manitoba,"Steinbach, Manitoba"
Thompson,Manitoba,"Thompson, Manitoba"
Winkler,Manitoba,"Winkler, Manitoba"
Winnipeg,Manitoba,"Winnipeg, Manitoba"
Bathurst ,New Brunswick,"Bathurst , New Brunswick"
Campbellton,New Brunswick,"Campbellton, New Brunswick"
Dieppe ,New Brunswick,"Dieppe , New Brunswick"
Edmundston ,New Brunswick,"Edmundston , New Brunswick"
Fredericton,New Brunswick,"Fredericton, New Brunswick"
Miramichi ,New Brunswick,"Miramichi , New Brunswick"
Moncton,New Brunswick,"Moncton, New Brunswick"
Saint John,New Brunswick,"Saint John, New Brunswick"
Corner Brook,Newfoundland and Labrador,"Corner Brook, Newfoundland and Labrador"
Mount Pearl,Newfoundland and Labrador,"Mount Pearl, Newfoundland and Labrador"
St. John's,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador"
Yellowknife,Northwest Territories,"Yellowknife, Northwest Territories"
Iqaluit,Nunavut,"Iqaluit, Nunavut"
Barrie,Ontario,"Barrie, Ontario"
Belleville,Ontario,"Belleville, Ontario"
Brampton,Ontario,"Brampton, Ontario"
Brant,Ontario,"Brant, Ontario"
Brantford,Ontario,"Brantford, Ontario"
Brockville,Ontario,"Brockville, Ontario"
Burlington,Ontario,"Burlington, Ontario"
Cambridge,Ontario,"Cambridge, Ontario"
Clarence-Rockland,Ontario,"Clarence-Rockland, Ontario"
Cornwall,Ontario,"Cornwall, Ontario"
Dryden,Ontario,"Dryden, Ontario"
Elliot Lake,Ontario,"Elliot Lake, Ontario"
Greater Sudbury,Ontario,"Greater Sudbury, Ontario"
Guelph,Ontario,"Guelph, Ontario"
Haldimand County,Ontario,"Haldimand County, Ontario"
Hamilton,Ontario,"Hamilton, Ontario"
Kawartha Lakes,Ontario,"Kawartha Lakes, Ontario"
Kenora,Ontario,"Kenora, Ontario"
Kingston,Ontario,"Kingston, Ontario"
Kitchener,Ontario,"Kitchener, Ontario"
London,Ontario,"London, Ontario"
Markham,Ontario,"Markham, Ontario"
Mississauga,Ontario,"Mississauga, Ontario"
Niagara Falls,Ontario,"Niagara Falls, Ontario"
Norfolk County,Ontario,"Norfolk County, Ontario"
North Bay,Ontario,"North Bay, Ontario"
Orillia,Ontario,"Orillia, Ontario"
Oshawa,Ontario,"Oshawa, Ontario"
Ottawa,Ontario,"Ottawa, Ontario"
Owen Sound,Ontario,"Owen Sound, Ontario"
Pembroke,Ontario,"Pembroke, Ontario"
Peterborough,Ontario,"Peterborough, Ontario"
Pickering,Ontario,"Pickering, Ontario"
Port Colborne,Ontario,"Port Colborne, Ontario"
Prince Edward County,Ontario,"Prince Edward County, Ontario"
Quinte West,Ontario,"Quinte West, Ontario"
Richmond Hill,Ontario,"Richmond Hill, Ontario"
Sarnia,Ontario,"Sarnia, Ontario"
Sault Ste. Marie,Ontario,"Sault Ste. Marie, Ontario"
St. Catharines,Ontario,"St. Catharines, Ontario"
St. Thomas,Ontario,"St. Thomas, Ontario"
Stratford,Ontario,"Stratford, Ontario"
Temiskaming Shores,Ontario,"Temiskaming Shores, Ontario"
Thorold,Ontario,"Thorold, Ontario"
Thunder Bay,Ontario,"Thunder Bay, Ontario"
Timmins,Ontario,"Timmins, Ontario"
Toronto,Ontario,"Toronto, Ontario"
Vaughan,Ontario,"Vaughan, Ontario"
Waterloo,Ontario,"Waterloo, Ontario"
Welland,Ontario,"Welland, Ontario"
Windsor,Ontario,"Windsor, Ontario"
Woodstock,Ontario,"Woodstock, Ontario"
Charlottetown,Prince Edward Island,"Charlottetown, Prince Edward Island"
Summerside,Prince Edward Island,"Summerside, Prince Edward Island"
Acton Vale ,Quebec,"Acton Vale , Quebec"
Alma ,Quebec,"Alma , Quebec"
Amos ,Quebec,"Amos , Quebec"
Amqui ,Quebec,"Amqui , Quebec"
Asbestos ,Quebec,"Asbestos , Quebec"
Baie-Comeau ,Quebec,"Baie-Comeau , Quebec"
Baie-D'Urfé ,Quebec,"Baie-D'Urfé , Quebec"
Baie-Saint-Paul ,Quebec,"Baie-Saint-Paul , Quebec"
Barkmere ,Quebec,"Barkmere , Quebec"
Beaconsfield ,Quebec,"Beaconsfield , Quebec"
Beauceville ,Quebec,"Beauceville , Quebec"
Beauharnois ,Quebec,"Beauharnois , Quebec"
Beaupré ,Quebec,"Beaupré , Quebec"
Bécancour ,Quebec,"Bécancour , Quebec"
Bedford ,Quebec,"Bedford , Quebec"
Belleterre ,Quebec,"Belleterre , Quebec"
Beloeil ,Quebec,"Beloeil , Quebec"
Berthierville ,Quebec,"Berthierville , Quebec"
Blainville ,Quebec,"Blainville , Quebec"
Boisbriand ,Quebec,"Boisbriand , Quebec"
Bois-des-Filion ,Quebec,"Bois-des-Filion , Quebec"
Bonaventure ,Quebec,"Bonaventure , Quebec"
Boucherville ,Quebec,"Boucherville , Quebec"
Brome Lake ,Quebec,"Brome Lake , Quebec"
Bromont ,Quebec,"Bromont , Quebec"
Brossard ,Quebec,"Brossard , Quebec"
Brownsburg-Chatham ,Quebec,"Brownsburg-Chatham , Quebec"
Candiac ,Quebec,"Candiac , Quebec"
Cap-Chat ,Quebec,"Cap-Chat , Quebec"
Cap-Santé ,Quebec,"Cap-Santé , Quebec"
Carignan ,Quebec,"Carignan , Quebec"
Carleton-sur-Mer ,Quebec,"Carleton-sur-Mer , Quebec"
Causapscal ,Quebec,"Causapscal , Quebec"
Chambly ,Quebec,"Chambly , Quebec"
Chandler ,Quebec,"Chandler , Quebec"
Chapais ,Quebec,"Chapais , Quebec"
Charlemagne ,Quebec,"Charlemagne , Quebec"
Châteauguay ,Quebec,"Châteauguay , Quebec"
Château-Richer ,Quebec,"Château-Richer , Quebec"
Chibougamau ,Quebec,"Chibougamau , Quebec"
Clermont ,Quebec,"Clermont , Quebec"
Coaticook ,Quebec,"Coaticook , Quebec"
Contrecoeur ,Quebec,"Contrecoeur , Quebec"
Cookshire-Eaton ,Quebec,"Cookshire-Eaton , Quebec"
Côte Saint-Luc ,Quebec,"Côte Saint-Luc , Quebec"
Coteau-du-Lac ,Quebec,"Coteau-du-Lac , Quebec"
Cowansville ,Quebec,"Cowansville , Quebec"
Danville ,Quebec,"Danville , Quebec"
Daveluyville ,Quebec,"Daveluyville , Quebec"
Dégelis ,Quebec,"Dégelis , Quebec"
Delson ,Quebec,"Delson , Quebec"
Desbiens ,Quebec,"Desbiens , Quebec"
Deux-Montagnes ,Quebec,"Deux-Montagnes , Quebec"
Disraeli ,Quebec,"Disraeli , Quebec"
Dolbeau-Mistassini ,Quebec,"Dolbeau-Mistassini , Quebec"
Dollard-des-Ormeaux ,Quebec,"Dollard-des-Ormeaux , Quebec"
Donnacona ,Quebec,"Donnacona , Quebec"
Dorval ,Quebec,"Dorval , Quebec"
Drummondville ,Quebec,"Drummondville , Quebec"
Dunham ,Quebec,"Dunham , Quebec"
Duparquet ,Quebec,"Duparquet , Quebec"
East Angus ,Quebec,"East Angus , Quebec"
Estérel ,Quebec,"Estérel , Quebec"
Farnham ,Quebec,"Farnham , Quebec"
Fermont ,Quebec,"Fermont , Quebec"
Forestville ,Quebec,"Forestville , Quebec"
Fossambault-sur-le-Lac ,Quebec,"Fossambault-sur-le-Lac , Quebec"
Gaspé ,Quebec,"Gaspé , Quebec"
Gatineau ,Quebec,"Gatineau , Quebec"
Gracefield ,Quebec,"Gracefield , Quebec"
Granby ,Quebec,"Granby , Quebec"
Grande-Rivière ,Quebec,"Grande-Rivière , Quebec"
Hampstead ,Quebec,"Hampstead , Quebec"
Hudson ,Quebec,"Hudson , Quebec"
Huntingdon ,Quebec,"Huntingdon , Quebec"
Joliette ,Quebec,"Joliette , Quebec"
Kingsey Falls ,Quebec,"Kingsey Falls , Quebec"
Kirkland ,Quebec,"Kirkland , Quebec"
La Malbaie ,Quebec,"La Malbaie , Quebec"
La Pocatière ,Quebec,"La Pocatière , Quebec"
La Prairie ,Quebec,"La Prairie , Quebec"
La Sarre ,Quebec,"La Sarre , Quebec"
La Tuque[QC 1] ,Quebec,"La Tuque, Quebec"
Lac-Delage ,Quebec,"Lac-Delage , Quebec"
Lachute ,Quebec,"Lachute , Quebec"
Lac-Mégantic ,Quebec,"Lac-Mégantic , Quebec"
Lac-Saint-Joseph ,Quebec,"Lac-Saint-Joseph , Quebec"
Lac-Sergent ,Quebec,"Lac-Sergent , Quebec"
L'Ancienne-Lorette ,Quebec,"L'Ancienne-Lorette , Quebec"
L'Assomption ,Quebec,"L'Assomption , Quebec"
Laval ,Quebec,"Laval , Quebec"
Lavaltrie ,Quebec,"Lavaltrie , Quebec"
Lebel-sur-Quévillon ,Quebec,"Lebel-sur-Quévillon , Quebec"
L'Épiphanie ,Quebec,"L'Épiphanie , Quebec"
Léry ,Quebec,"Léry , Quebec"
Lévis ,Quebec,"Lévis , Quebec"
L'Île-Cadieux ,Quebec,"L'Île-Cadieux , Quebec"
L'Île-Dorval[QC 2] ,Quebec,"L'Île-Dorval, Quebec"
L'Île-Perrot ,Quebec,"L'Île-Perrot , Quebec"
Longueuil ,Quebec,"Longueuil , Quebec"
Lorraine ,Quebec,"Lorraine , Quebec"
Louiseville ,Quebec,"Louiseville , Quebec"
Macamic ,Quebec,"Macamic , Quebec"
Magog ,Quebec,"Magog , Quebec"
Malartic ,Quebec,"Malartic , Quebec"
Maniwaki ,Quebec,"Maniwaki , Quebec"
Marieville ,Quebec,"Marieville , Quebec"
Mascouche ,Quebec,"Mascouche , Quebec"
Matagami ,Quebec,"Matagami , Quebec"
Matane ,Quebec,"Matane , Quebec"
Mercier ,Quebec,"Mercier , Quebec"
Métabetchouan–Lac-à-la-Croix ,Quebec,"Métabetchouan–Lac-à-la-Croix , Quebec"
Métis-sur-Mer ,Quebec,"Métis-sur-Mer , Quebec"
Mirabel ,Quebec,"Mirabel , Quebec"
Mont-Joli ,Quebec,"Mont-Joli , Quebec"
Mont-Laurier ,Quebec,"Mont-Laurier , Quebec"
Montmagny ,Quebec,"Montmagny , Quebec"
Montreal[QC 3] ,Quebec,"Montreal, Quebec"
Montreal West ,Quebec,"Montreal West , Quebec"
Montréal-Est ,Quebec,"Montréal-Est , Quebec"
Mont-Saint-Hilaire ,Quebec,"Mont-Saint-Hilaire , Quebec"
Mont-Tremblant ,Quebec,"Mont-Tremblant , Quebec"
Mount Royal ,Quebec,"Mount Royal , Quebec"
Murdochville ,Quebec,"Murdochville , Quebec"
Neuville ,Quebec,"Neuville , Quebec"
New Richmond ,Quebec,"New Richmond , Quebec"
Nicolet ,Quebec,"Nicolet , Quebec"
Normandin ,Quebec,"Normandin , Quebec"
Notre-Dame-de-l'Île-Perrot ,Quebec,"Notre-Dame-de-l'Île-Perrot , Quebec"
Notre-Dame-des-Prairies ,Quebec,"Notre-Dame-des-Prairies , Quebec"
Otterburn Park ,Quebec,"Otterburn Park , Quebec"
Paspébiac ,Quebec,"Paspébiac , Quebec"
Percé ,Quebec,"Percé , Quebec"
Pincourt ,Quebec,"Pincourt , Quebec"
Plessisville ,Quebec,"Plessisville , Quebec"
Pohénégamook ,Quebec,"Pohénégamook , Quebec"
Pointe-Claire ,Quebec,"Pointe-Claire , Quebec"
Pont-Rouge ,Quebec,"Pont-Rouge , Quebec"
Port-Cartier ,Quebec,"Port-Cartier , Quebec"
Portneuf ,Quebec,"Portneuf , Quebec"
Prévost ,Quebec,"Prévost , Quebec"
Princeville ,Quebec,"Princeville , Quebec"
Québec[QC 4] ,Quebec,"Québec, Quebec"
Repentigny ,Quebec,"Repentigny , Quebec"
Richelieu ,Quebec,"Richelieu , Quebec"
Richmond ,Quebec,"Richmond , Quebec"
Rimouski ,Quebec,"Rimouski , Quebec"
Rivière-du-Loup ,Quebec,"Rivière-du-Loup , Quebec"
Rivière-Rouge ,Quebec,"Rivière-Rouge , Quebec"
Roberval ,Quebec,"Roberval , Quebec"
Rosemère ,Quebec,"Rosemère , Quebec"
Rouyn-Noranda ,Quebec,"Rouyn-Noranda , Quebec"
Saguenay ,Quebec,"Saguenay , Quebec"
Saint-Augustin-de-Desmaures ,Quebec,"Saint-Augustin-de-Desmaures , Quebec"
Saint-Basile ,Quebec,"Saint-Basile , Quebec"
Saint-Basile-le-Grand ,Quebec,"Saint-Basile-le-Grand , Quebec"
Saint-Bruno-de-Montarville ,Quebec,"Saint-Bruno-de-Montarville , Quebec"
Saint-Césaire ,Quebec,"Saint-Césaire , Quebec"
Saint-Colomban ,Quebec,"Saint-Colomban , Quebec"
Saint-Constant ,Quebec,"Saint-Constant , Quebec"
Sainte-Adèle ,Quebec,"Sainte-Adèle , Quebec"
Sainte-Agathe-des-Monts ,Quebec,"Sainte-Agathe-des-Monts , Quebec"
Sainte-Anne-de-Beaupré ,Quebec,"Sainte-Anne-de-Beaupré , Quebec"
Sainte-Anne-de-Bellevue ,Quebec,"Sainte-Anne-de-Bellevue , Quebec"
Sainte-Anne-des-Monts ,Quebec,"Sainte-Anne-des-Monts , Quebec"
Sainte-Anne-des-Plaines ,Quebec,"Sainte-Anne-des-Plaines , Quebec"
Sainte-Catherine ,Quebec,"Sainte-Catherine , Quebec"
Sainte-Catherine-de-la-Jacques-Cartier ,Quebec,"Sainte-Catherine-de-la-Jacques-Cartier , Quebec"
Sainte-Julie ,Quebec,"Sainte-Julie , Quebec"
Sainte-Marguerite-du-Lac-Masson ,Quebec,"Sainte-Marguerite-du-Lac-Masson , Quebec"
Sainte-Marie ,Quebec,"Sainte-Marie , Quebec"
Sainte-Marthe-sur-le-Lac ,Quebec,"Sainte-Marthe-sur-le-Lac , Quebec"
Sainte-Thérèse ,Quebec,"Sainte-Thérèse , Quebec"
Saint-Eustache ,Quebec,"Saint-Eustache , Quebec"
Saint-Félicien ,Quebec,"Saint-Félicien , Quebec"
Saint-Gabriel ,Quebec,"Saint-Gabriel , Quebec"
Saint-Georges ,Quebec,"Saint-Georges , Quebec"
Saint-Hyacinthe ,Quebec,"Saint-Hyacinthe , Quebec"
Saint-Jean-sur-Richelieu ,Quebec,"Saint-Jean-sur-Richelieu , Quebec"
Saint-Jérôme ,Quebec,"Saint-Jérôme , Quebec"
Saint-Joseph-de-Beauce ,Quebec,"Saint-Joseph-de-Beauce , Quebec"
Saint-Joseph-de-Sorel ,Quebec,"Saint-Joseph-de-Sorel , Quebec"
Saint-Lambert ,Quebec,"Saint-Lambert , Quebec"
Saint-Lazare ,Quebec,"Saint-Lazare , Quebec"
Saint-Lin-Laurentides ,Quebec,"Saint-Lin-Laurentides , Quebec"
Saint-Marc-des-Carrières ,Quebec,"Saint-Marc-des-Carrières , Quebec"
Saint-Ours ,Quebec,"Saint-Ours , Quebec"
Saint-Pamphile ,Quebec,"Saint-Pamphile , Quebec"
Saint-Pascal ,Quebec,"Saint-Pascal , Quebec"
Saint-Pie ,Quebec,"Saint-Pie , Quebec"
Saint-Raymond ,Quebec,"Saint-Raymond , Quebec"
Saint-Rémi ,Quebec,"Saint-Rémi , Quebec"
Saint-Sauveur ,Quebec,"Saint-Sauveur , Quebec"
Saint-Tite ,Quebec,"Saint-Tite , Quebec"
Salaberry-de-Valleyfield ,Quebec,"Salaberry-de-Valleyfield , Quebec"
Schefferville ,Quebec,"Schefferville , Quebec"
Scotstown ,Quebec,"Scotstown , Quebec"
Senneterre ,Quebec,"Senneterre , Quebec"
Sept-Îles ,Quebec,"Sept-Îles , Quebec"
Shawinigan ,Quebec,"Shawinigan , Quebec"
Sherbrooke ,Quebec,"Sherbrooke , Quebec"
Sorel-Tracy ,Quebec,"Sorel-Tracy , Quebec"
Stanstead ,Quebec,"Stanstead , Quebec"
Sutton ,Quebec,"Sutton , Quebec"
Témiscaming ,Quebec,"Témiscaming , Quebec"
Témiscouata-sur-le-Lac ,Quebec,"Témiscouata-sur-le-Lac , Quebec"
Terrebonne ,Quebec,"Terrebonne , Quebec"
Thetford Mines ,Quebec,"Thetford Mines , Quebec"
Thurso ,Quebec,"Thurso , Quebec"
Trois-Pistoles ,Quebec,"Trois-Pistoles , Quebec"
Trois-Rivières ,Quebec,"Trois-Rivières , Quebec"
Valcourt ,Quebec,"Valcourt , Quebec"
Val-d'Or ,Quebec,"Val-d'Or , Quebec"
Varennes ,Quebec,"Varennes , Quebec"
Vaudreuil-Dorion ,Quebec,"Vaudreuil-Dorion , Quebec"
Victoriaville ,Quebec,"Victoriaville , Quebec"
Ville-Marie ,Quebec,"Ville-Marie , Quebec"
Warwick ,Quebec,"Warwick , Quebec"
Waterloo ,Quebec,"Waterloo , Quebec"
Waterville ,Quebec,"Waterville , Quebec"
Westmount ,Quebec,"Westmount , Quebec"
Windsor,Quebec,"Windsor, Quebec"
Estevan ,Saskatchewan,"Estevan , Saskatchewan"
Flin Flon (part)[SK 1] ,Saskatchewan,"Flin Flon, Saskatchewan"
Humboldt ,Saskatchewan,"Humboldt , Saskatchewan"
Lloydminster (part)[SK 4] ,Saskatchewan,"Lloydminster, Saskatchewan"
Martensville[SK 7] ,Saskatchewan,"Martensville, Saskatchewan"
Meadow Lake ,Saskatchewan,"Meadow Lake , Saskatchewan"
Melfort ,Saskatchewan,"Melfort , Saskatchewan"
Melville[SK 8] ,Saskatchewan,"Melville, Saskatchewan"
Moose Jaw ,Saskatchewan,"Moose Jaw , Saskatchewan"
North Battleford ,Saskatchewan,"North Battleford , Saskatchewan"
Prince Albert ,Saskatchewan,"Prince Albert , Saskatchewan"
Regina[SK 9] ,Saskatchewan,"Regina, Saskatchewan"
Saskatoon[SK 10] ,Saskatchewan,"Saskatoon, Saskatchewan"
Swift Current ,Saskatchewan,"Swift Current , Saskatchewan"
Warman[SK 11] ,Saskatchewan,"Warman, Saskatchewan"
Weyburn ,Saskatchewan,"Weyburn , Saskatchewan"
Yorkton,Saskatchewan,"Yorkton, Saskatchewan"
Whitehorse,Yukon,"Whitehorse, Yukon"
